City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,34,8,24,0.37,6,106,67,6
阿克苏地区,157,51,262,0.75,25,66,54,9
阿拉善盟,160,67,268,0.47,10,96,88,8
阿勒泰地区,46,2,8,0.5,8,85,90,2
阿里地区,56,24,60,0.6,16,61,60,20
安康,91,67,116,0.7,11,143,95,11
安庆,124,93,108,0.83,30,69,57,8
鞍山,137,104,165,2.24,65,95,55,43
安顺,33,15,27,0.65,9,98,65,12
安阳,59,30,65,1.58,29,86,55,21
白城,60,24,67,0.3,6,108,75,7
百色,81,59,80,1.2,19,80,36,14
白山,96,71,118,1.25,15,124,70,7
白银,150,60,247,0.7,8,85,74,5
保定,54,26,55,0.65,30,109,76,23
宝鸡,113,84,173,0.94,34,95,80,12
保山,92,64,132,0.85,20,124,79,8
包头,135,78,218,1.1,22,112,99,15
巴彦淖尔,237,82,375,0.5,14,86,81,4
巴中,25,14,24,0.63,17,77,37,3
北海,47,32,46,0.77,5,90,72,9
北京,60,32,68,0.63,36,81,35,9
蚌埠,88,65,82,0.62,33,49,69,11
本溪,89,66,125,4.1,89,59,44,106
毕节,99,74,126,1.1,36,40,51,20
滨州,70,43,87,1.03,33,104,62,26
博州,53,17,54,0.5,17,52,34,11
亳州,55,38,42,0.7,15,120,97,12
沧州,67,40,82,0.67,46,93,76,44
长春,106,79,128,0.89,23,149,66,8
常德,64,45,55,1.02,30,35,36,14
昌都,66,47,75,0.65,21,82,53,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,46,24,45,0.6,14,85,55,8
长沙,77,56,66,0.67,28,48,36,13
常熟,54,30,56,0.57,26,36,17,20
长治,132,100,186,1.35,24,179,66,15
常州,85,62,88,1.19,50,32,16,15
朝阳,54,23,56,0.73,12,100,40,19
潮州,56,31,60,0.73,11,128,60,11
承德,79,16,106,0.88,23,95,36,24
成都,94,70,115,1.27,62,33,34,11
郴州,70,50,71,1.38,30,60,37,52
赤峰,107,52,162,1.0,27,69,29,29
池州,125,94,144,1.17,47,43,18,27
重庆,36,17,35,0.89,41,55,27,12
崇左,77,56,81,0.8,17,102,54,12
楚雄州,63,37,73,0.7,11,120,40,12
滁州,49,33,48,0.5,32,51,55,7
大连,56,28,60,0.68,21,129,84,11
大理州,62,37,71,0.75,13,124,101,6
丹东,55,38,58,0.68,20,123,95,15
大庆,64,40,75,0.52,17,105,75,10
大同,84,52,115,0.78,21,124,77,19
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,33,8,16,0.25,9,95,64,12
达州,43,21,42,0.44,13,116,62,10
德宏州,96,71,108,0.85,42,76,22,22
德阳,61,33,69,0.93,20,76,44,8
德州,79,41,106,1.3,47,71,58,36
定西,54,37,50,0.55,25,78,87,9
迪庆州,110,49,167,0.8,10,89,59,11
东莞,80,58,83,0.94,38,170,71,18
东营,80,44,108,0.95,31,114,68,48
鄂尔多斯,147,86,241,0.94,18,132,117,15
恩施州,43,30,40,0.9,33,33,14,7
鄂州,93,69,122,0.9,33,151,50,15
防城港,52,23,52,0.67,12,78,52,12
佛山,78,57,91,0.8,52,71,41,18
抚顺,88,65,103,0.93,41,133,84,31
阜新,70,40,87,0.6,24,103,53,26
阜阳,115,86,105,0.7,12,87,89,4
富阳,104,69,155,0.5,37,89,61,6
福州,29,15,28,0.5,15,62,56,5
抚州,104,77,128,0.72,25,89,27,44
甘南州,173,82,294,0.2,16,57,58,4
赣州,156,118,153,2.0,64,62,35,41
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,50,32,17,0.3,6,107,99,21
广安,47,22,46,0.64,20,86,37,19
广元,66,38,79,1.23,54,58,25,37
广州,93,69,89,0.96,74,68,23,16
贵港,71,51,72,0.93,16,94,57,19
桂林,51,28,50,0.7,18,101,41,9
贵阳,63,41,74,0.7,34,50,51,12
果洛州,150,61,247,0.4,13,107,83,26
固原,146,68,239,0.63,24,85,89,9
哈尔滨,92,68,122,0.82,25,145,95,8
海北州,61,37,68,0.5,15,125,112,10
海东地区,149,84,246,1.4,31,65,84,8
海口,39,19,38,0.56,9,63,46,4
海门,48,33,42,0.65,19,35,39,8
